,Zip,Cluster_Labels,LAT,LNG,Num_Disp,Total_Households,Household_Median_Income
113,91423,2,34.15306169,-118.4329589,2,15085,90931
114,91436,0,34.15384379,-118.4873366,0,5600,174085
115,91504,1,34.19825409,-118.3304993,0,9387,83994
116,91505,2,34.16767394,-118.3444989,0,12902,87138
117,91601,3,34.16713081,-118.3725285,8,16710,53911
118,91602,1,34.15134106,-118.3690786,4,9813,84008
119,91604,2,34.14446292,-118.3942796,8,14641,111341
120,91605,2,34.20546245,-118.4019399,23,16271,50623
121,91606,3,34.18673113,-118.3868062,0,15401,50155
122,91607,2,34.16615319,-118.3993372,1,13607,71691
