Zip,LAT,LNG,Num_Disp,Sac_City,LA_City,Total_Pop,Percent_Under_18_Years,Percent_Ages_18_to_24,Percent_18_and_Older,Percent_21_and_Older,Percent_60_and_Older,Number_Males,Percent_Male,Male_Median_Age,Number_Females,Pct_Female,Females_Median_Age,Total_Households,Households_with_Children,Pct_Households_with_Children,Pct_Owner_Occupied,Pct_Renter_Occupied,Household_Median_Income,Household_Median_Inc_Quintiles,Pct_Earned_Income_Past_12_Months
94002,0,0,,No,No,27155,23,5.3,77,74.7,22,13495,49.7,39,13660,50.3,43.4,10323,3522,34.1,61,39,155473,,28.2
92014,0,0,,No,No,13568,17.7,2.7,82.3,81.2,32.4,6843,50.4,49.2,6725,49.6,49.3,5751,1380,24,66.2,33.8,155531,,35.9
95124,0,0,,No,No,51455,25.6,6.3,74.4,71.7,19.2,26418,51.3,38.3,25037,48.7,41.1,17249,7076,41,73.5,26.5,155550,,28
92091,0,0,,No,No,1313,9.1,6.2,90.9,89,51.3,614,46.8,63.4,699,53.2,58.7,638,71,11.1,88.4,11.6,155789,,40.3
94158,0,0,,No,No,8455,13.3,4.4,86.7,85.7,9.1,4057,48,34.7,4398,52,34.2,4461,740,16.6,29.5,70.5,156856,,18.6
94301,0,0,,No,No,16582,20.3,4.5,79.7,77.9,29.7,7940,47.9,44.7,8642,52.1,45.1,7042,1973,28,52,48,159148,,25.9
94087,0,0,,No,No,56668,24.8,4.8,75.2,73.6,19.3,28216,49.8,38.8,28452,50.2,38.9,20041,8055,40.2,57,43,160907,,25.1
94566,0,0,,No,No,45893,23.5,6,76.5,73.3,21.9,22632,49.3,43.4,23261,50.7,45.1,16475,6199,37.6,72.3,27.7,161204,,24.7
94025,0,0,,No,No,43392,25.3,6.9,74.7,72.5,20.6,21043,48.5,37.9,22349,51.5,38.8,15106,5276,34.9,61,39,161827,,27.6
94114,0,0,,No,No,34918,11.3,3.8,88.7,87.9,18.5,20323,58.2,40.7,14595,41.8,37.3,16845,2307,13.7,43.8,56.2,162193,,28.5
94123,0,0,,No,No,25890,10.2,5.9,89.8,89.2,16.6,12536,48.4,33.9,13354,51.6,34.1,13769,1557,11.3,26.7,73.3,162206,,31.1
94552,0,0,,No,No,14938,21.7,5,78.3,76.2,27.5,7202,48.2,46.7,7736,51.8,46.4,4943,1700,34.4,90.6,9.4,162583,,29.2
91108,0,0,,No,No,13375,22.5,3.8,77.5,75.4,29.6,6540,48.9,45.1,6835,51.1,48.6,4582,1622,35.4,86.1,13.9,165765,,45.9
94920,0,0,,No,No,12740,21.2,3.1,78.8,76.7,34.9,6099,47.9,51.1,6641,52.1,51,5359,1660,31,68,32,165807,,29.7
92694,0,0,,No,No,29570,37,4.7,63,60.1,10,14389,48.7,31.8,15181,51.3,34.1,9048,5312,58.7,76.8,23.2,166015,,27.3
94107,0,0,,No,No,31461,11.3,6.2,88.7,87.5,14.5,16458,52.3,35.8,15003,47.7,35,14392,2295,15.9,40.2,59.8,166985,,31.7
94618,0,0,,No,No,17252,19,5.2,81,78.1,23.9,8017,46.5,41.5,9235,53.5,43.1,7156,1787,25,64.7,35.3,167606,,27.2
95014,0,0,,No,No,61866,25.6,6.4,74.4,71.6,19.4,30828,49.8,40.6,31038,50.2,42,21618,9765,45.2,59,41,168538,,24.4
94402,0,0,,No,No,25703,22.9,6.1,77.1,74.5,23.7,12685,49.4,40.8,13018,50.6,41.5,9542,3135,32.9,68,32,169086,,29.4
92861,0,0,,No,No,5822,18.3,5.5,81.7,78.3,35.2,2820,48.4,51.4,3002,51.6,54.3,1975,488,24.7,96.9,3.1,169125,,47.7
90274,0,0,,No,No,25061,21.6,5,78.4,76,35.7,12189,48.6,51.9,12872,51.4,51.6,9153,2648,28.9,87.3,12.7,169919,,35.9
94708,0,0,,No,No,11394,18.1,4.2,81.9,80.4,37.4,5542,48.6,48.5,5852,51.4,52.5,4749,1129,23.8,85.2,14.8,170139,,29.9
94117,0,0,,No,No,44650,10.2,10.1,89.8,83.4,12.2,22654,50.7,34.7,21996,49.3,32,18244,2581,14.1,30.6,69.4,170211,,33.5
94065,0,0,,No,No,12461,22.6,4.6,77.4,76.1,18,5661,45.4,43.1,6800,54.6,41.4,5197,1724,33.2,70.6,29.4,172663,,20.8
94127,0,0,,No,No,21151,19.9,5.9,80.1,79.1,27.4,10286,48.6,44.9,10865,51.4,45,7603,2283,30,79.3,20.7,172713,,33.2
92067,0,0,,No,No,7724,17.2,7.7,82.8,79.3,36.5,3586,46.4,53.2,4138,53.6,52.8,2683,652,24.3,87.3,12.7,174107,,59.7
92679,0,0,,No,No,32657,24,7.5,76,72.2,19,16252,49.8,43.4,16405,50.2,43.6,10863,4118,37.9,87.1,12.9,175027,,28.5
94582,0,0,,No,No,42576,30.9,5.7,69.1,66.5,11.1,21214,49.8,38.8,21362,50.2,39.9,14036,7805,55.6,71.7,28.3,175490,,24.6
91011,0,0,,No,No,20301,26,6.5,74,71.2,26.6,9831,48.4,44.4,10470,51.6,45.5,6434,2495,38.8,90.9,9.1,175652,,35.5
95651,0,0,,No,No,624,16.5,10.9,83.5,82.9,13.1,347,55.6,43.7,277,44.4,54.8,219,50,22.8,90.4,9.6,176250,,31.1
95033,0,0,,No,No,9511,18.9,4.9,81.1,79.1,26.5,4862,51.1,48.8,4649,48.9,46.6,3566,981,27.5,86.2,13.8,177000,,27.8
94021,0,0,,No,No,511,0,15.5,100,92.4,19.4,191,37.4,49.7,320,62.6,53.5,91,0,0,74.7,25.3,177163,,46.2
94539,0,0,,No,No,54982,24.2,5.7,75.8,73.6,20.1,26490,48.2,42.7,28492,51.8,42.2,16822,7888,46.9,82.1,17.9,177836,,25
94549,0,0,,No,No,29795,24.6,5,75.4,74,25.8,13978,46.9,45.8,15817,53.1,45.7,10852,3593,33.1,73.7,26.3,178056,,28.5
94062,0,0,,No,No,28423,20.9,5.5,79.1,77.6,26.3,13851,48.7,44.2,14572,51.3,45.8,10190,2997,29.4,74.5,25.5,178480,,30.4
