Zip,LAT,LNG,Num_Disp,Sac_City,LA_City,Total_Pop,Percent_Under_18_Years,Percent_Ages_18_to_24,Percent_18_and_Older,Percent_21_and_Older,Percent_60_and_Older,Number_Males,Percent_Male,Male_Median_Age,Number_Females,Pct_Female,Females_Median_Age,Total_Households,Households_with_Children,Pct_Households_with_Children,Pct_Owner_Occupied,Pct_Renter_Occupied,Household_Median_Income,Household_Median_Inc_Quintiles,Pct_Earned_Income_Past_12_Months
90021,34.0301241,-118.2417786,44,No,Yes,2945,11.3,5.7,88.7,86.8,12.2,1813,61.6,40.5,1132,38.4,35.2,1734,171,9.9,9,91,21635,Quintile 1,25.4
90058,34.00184246,-118.2211268,9,No,Yes,2718,41.1,10.4,58.9,53.1,4.7,1138,41.9,21.3,1580,58.1,25.3,706,336,47.6,12,88,21964,Quintile 1,40.9
90013,34.04602247,-118.2462496,2,No,Yes,12559,3.2,5.5,96.8,96.1,20.4,7969,63.5,44.6,4590,36.5,40.6,7308,256,3.5,7.8,92.2,22316,Quintile 1,20.2
90007,34.02833396,-118.2850766,4,No,Yes,42433,14.2,38.3,85.8,69.4,10.8,21877,51.6,23.7,20556,48.4,25.1,11919,2213,18.6,12.3,87.7,27406,Quintile 1,41.6
90037,34.00349356,-118.287097,1,No,Yes,67640,27.8,11,72.2,67.8,12.7,33928,50.2,29.8,33712,49.8,32.2,17699,6455,36.5,24.1,75.9,35424,Quintile 1,51.4
90017,34.05230101,-118.2633863,0,No,Yes,27723,21.4,10.1,78.6,75.1,12.4,14905,53.8,31.7,12818,46.2,31.6,11510,2441,21.2,4.2,95.8,35605,Quintile 1,31.1
90044,33.95386056,-118.291946,2,No,Yes,99443,29.6,10.4,70.4,66.2,13.1,46908,47.2,30.3,52535,52.8,32.9,29029,10847,37.4,29.4,70.6,35981,Quintile 1,48.9
90006,34.05010243,-118.292689,0,No,Yes,59576,22.2,9.4,77.8,74,15.6,29494,49.5,33.3,30082,50.5,35.3,19337,5598,28.9,9,91,37072,Quintile 1,33.5
90002,33.94895071,-118.2469796,1,No,Yes,53302,32.4,12.5,67.6,62.8,10.4,25422,47.7,27.4,27880,52.3,28.6,12917,5650,43.7,35,65,37285,Quintile 1,45.9
90057,34.06211203,-118.2771383,0,No,Yes,50152,22.4,9.7,77.6,74.2,14.8,27341,54.5,32,22811,45.5,35.1,17298,4652,26.9,3.7,96.3,37700,Quintile 1,36.9
90033,34.0485643,-118.21152,2,No,Yes,49155,29.1,11.5,70.9,66.3,15.4,23620,48.1,28.8,25535,51.9,33.2,13303,4887,36.7,18.7,81.3,38266,Quintile 1,46.1
90005,34.05907053,-118.3030171,0,No,Yes,39732,18.1,8.8,81.9,78.6,16.8,20041,50.4,34.6,19691,49.6,36.7,16781,3235,19.3,7.7,92.3,38491,Quintile 1,30.4
90003,33.96335005,-118.273936,1,No,Yes,73730,32.1,10.9,67.9,63,10,36135,49,27.2,37595,51,29.3,17484,7839,44.8,28.3,71.7,40598,Quintile 1,49.1
90014,34.04475373,-118.2527367,3,No,Yes,8688,1.5,5.9,98.5,96.8,26.4,5206,59.9,43.2,3482,40.1,38.6,5644,67,1.2,2.6,97.4,40641,Quintile 1,18.1
90011,34.00790374,-118.259037,4,No,Yes,111165,31.6,11.7,68.4,63.7,9.8,56227,50.6,28.6,54938,49.4,28.9,24433,11347,46.4,26,74,40940,Quintile 1,47.9
90029,34.089894,-118.2949093,3,No,Yes,36668,14.9,9,85.1,82.1,19,18469,50.4,35.9,18199,49.6,36.5,13997,2541,18.2,10.1,89.9,41998,Quintile 1,43.6
90061,33.92303275,-118.2737796,1,No,Yes,27873,27.5,10.2,72.5,68.3,14,13246,47.5,31.1,14627,52.5,31.7,7396,2760,37.3,41.9,58.1,42500,Quintile 1,44.1
90023,34.02418013,-118.2019566,33,No,Yes,46680,28.6,11.8,71.4,67.1,14,23685,50.7,30.1,22995,49.3,33.3,11691,4695,40.2,27.5,72.5,42972,Quintile 1,46.3
90001,33.97327405,-118.2489696,7,No,Yes,59832,31.7,11.3,68.3,63.3,10.9,30910,51.7,28.6,28922,48.3,29.6,13669,6033,44.1,35.9,64.1,43360,Quintile 1,45.7
90008,34.01097132,-118.3415877,0,No,Yes,31754,15.8,9.1,84.2,80.6,24.8,13922,43.8,40.8,17832,56.2,44.8,14858,2164,14.6,33,67,43364,Quintile 1,47.6
90015,34.04012196,-118.2649896,7,No,Yes,22651,17.7,13.2,82.3,77.1,10.7,11517,50.8,32,11134,49.2,31.8,10270,1674,16.3,11.7,88.3,43890,Quintile 1,26.6
90059,33.92701277,-118.2483961,0,No,Yes,46185,34.3,11.4,65.7,60.3,11.1,21894,47.4,25.3,24291,52.6,29.2,10906,4561,41.8,47.1,52.9,44838,Quintile 1,48.6
90028,34.10072175,-118.3282182,1,No,Yes,29774,6.8,11.5,93.2,89,17.2,16031,53.8,36.4,13743,46.2,35.7,16403,998,6.1,4.7,95.3,45499,Quintile 1,37.7
91402,34.22575363,-118.4489268,4,No,Yes,72059,25.4,10.4,74.6,70.3,14.7,35712,49.6,32,36347,50.4,35.4,19839,7309,36.8,33.5,66.5,45796,Quintile 1,42.2
90018,34.03077151,-118.316869,1,No,Yes,53490,23,10.9,77,72.6,16.6,25864,48.4,33,27626,51.6,35.8,16568,4824,29.1,30.5,69.5,45984,Quintile 1,47.7
90012,34.0594833,-118.242048,1,No,Yes,36552,8.5,12.6,91.5,88.3,18.3,22600,61.8,34,13952,38.2,38.6,13216,1689,12.8,9,91,47027,Quintile 2,29.9
91405,34.20047004,-118.4486965,6,No,Yes,55506,23.7,10,76.3,72.5,14.8,26917,48.5,34.1,28589,51.5,34.7,18246,5823,31.9,27.1,72.9,47037,Quintile 2,43.3
90038,34.08898154,-118.3248377,2,No,Yes,28580,15.7,11.5,84.3,81,13,15315,53.6,34.1,13265,46.4,33.6,12229,2179,17.8,9.1,90.9,47116,Quintile 2,38.8
90031,34.07752376,-118.2131059,1,No,Yes,39916,21.6,10.5,78.4,74.3,18.5,19501,48.9,34.3,20415,51.1,37.5,11739,3496,29.8,31.6,68.4,48479,Quintile 2,46.2
90063,34.04488408,-118.1859366,0,No,Yes,53980,26.9,11.2,73.1,68.9,14.8,26611,49.3,31.4,27369,50.7,32.3,13686,4995,36.5,39.8,60.2,48559,Quintile 2,47.3
90016,34.02888143,-118.353089,4,No,Yes,45899,19.6,9,80.4,77.1,18.9,22920,49.9,34.5,22979,50.1,40.5,17218,4017,23.3,36.9,63.1,48715,Quintile 2,43.5
90020,34.06636145,-118.3016484,1,No,Yes,39189,18.3,8.5,81.7,79.1,14.6,19172,48.9,33.4,20017,51.1,35.5,16396,3302,20.1,9.3,90.7,49068,Quintile 2,36.2
90062,34.00387158,-118.3088568,1,No,Yes,35916,23.2,10.6,76.8,72.7,16.5,17201,47.9,33.1,18715,52.1,36.7,10063,2752,27.3,45.9,54.1,49443,Quintile 2,57.5
90004,34.07572059,-118.3030171,1,No,Yes,60541,19.2,8.8,80.8,77.5,15.8,29834,49.3,35,30707,50.7,35.5,22004,5392,24.5,16.6,83.4,49675,Quintile 2,36.1
91606,34.18673113,-118.3868062,0,No,Yes,44295,21,8.1,79,75.8,17.2,22505,50.8,35.6,21790,49.2,38.4,15401,4008,26,31.7,68.3,50155,Quintile 2,44.6
91605,34.20546245,-118.4019399,23,No,Yes,53113,21.4,11.4,78.6,74.1,16.2,26667,50.2,33.4,26446,49.8,37,16271,4977,30.6,36.9,63.1,50623,Quintile 2,50.4
90744,33.78372318,-118.2626694,3,No,Yes,56880,28.9,11.6,71.1,66.5,13.4,28563,50.2,29.8,28317,49.8,31.5,14788,5776,39.1,36.5,63.5,50875,Quintile 2,48
90302,33.973752,-118.357686,0,No,Yes,30017,24.9,9.1,75.1,71.7,15.3,13994,46.6,33.2,16023,53.4,36.7,10636,3431,32.3,28.9,71.1,51850,Quintile 2,38.1
90047,33.95687165,-118.3090784,3,No,Yes,51411,21.7,9.8,78.3,74.2,21.7,22935,44.6,35.4,28476,55.4,40.9,17893,3975,22.2,56.6,43.4,52605,Quintile 2,55.1
90731,33.73272151,-118.292298,1,No,Yes,60659,23.2,8.8,76.8,72.9,18.9,29853,49.2,36.6,30806,50.8,37.3,22695,5947,26.2,32.2,67.8,53456,Quintile 2,36.8
91401,34.18115215,-118.4348272,3,No,Yes,39755,20.6,8,79.4,76.4,18.7,19499,49,35.6,20256,51,37.6,14933,3945,26.4,33.8,66.2,53882,Quintile 2,39.2
91601,34.16713081,-118.3725285,8,No,Yes,36841,12.5,9.6,87.5,84.9,14.9,19056,51.7,33.5,17785,48.3,34.4,16710,2569,15.4,17.9,82.1,53911,Quintile 2,43.5
90043,33.98673053,-118.3329064,2,No,Yes,45873,19.4,9.7,80.6,76.7,23.1,22191,48.4,35.7,23682,51.6,44.6,17376,3825,22,55.3,44.7,54729,Quintile 2,49.5
90247,33.89189209,-118.2984983,1,No,Yes,48293,21.5,8.2,78.5,75.4,20.5,23667,49,37.1,24626,51,38.9,16001,4341,27.1,38.5,61.5,55561,Quintile 2,41.7
90019,34.04884238,-118.3361087,6,No,Yes,64534,17.9,9,82.1,79.7,18.9,31779,49.2,37.4,32755,50.8,39.1,24464,5356,21.9,27.9,72.1,56389,Quintile 2,39.9
91352,34.22551031,-118.3765172,26,No,Yes,47076,22.8,10.8,77.2,72.9,17.9,23219,49.3,34.4,23857,50.7,37.4,12436,3917,31.5,53.4,46.6,57145,Quintile 2,51.7
90032,34.08151248,-118.176786,3,No,Yes,48031,21.9,12.7,78.1,73,18.8,23664,49.3,32.4,24367,50.7,35.6,13493,4104,30.4,50.2,49.8,57225,Quintile 2,50.4
91340,34.28619265,-118.4374472,1,No,Yes,36156,26.4,9.9,73.6,69.7,16,17781,49.2,33.8,18375,50.8,33.7,8886,3174,35.7,55.8,44.2,57398,Quintile 2,50
91411,34.17933159,-118.4579296,9,No,Yes,26111,23.8,8.6,76.2,72.9,14.5,12850,49.2,35.3,13261,50.8,35.1,9493,2830,29.8,25.1,74.9,58605,Quintile 2,34.8
91406,34.19981394,-118.4868891,16,No,Yes,54890,23.5,8.8,76.5,72.8,15.8,27763,50.6,35.6,27127,49.4,36.3,18398,5628,30.6,38.9,61.1,59472,Quintile 2,43.2
90810,33.81356034,-118.2165385,0,No,Yes,37251,23.9,12.5,76.1,71.1,17.8,18056,48.5,33,19195,51.5,35.4,9400,3070,32.7,54.6,45.4,60227,Quintile 3,47.7
91303,34.1980716,-118.5990988,4,No,Yes,31586,23,10.9,77,72.4,11.2,15906,50.4,32.2,15680,49.6,32.3,10097,3347,33.1,23.2,76.8,61250,Quintile 3,43.1
90248,33.8754419,-118.2823783,5,No,Yes,11607,18.5,8.1,81.5,78.9,26.5,5560,47.9,43.2,6047,52.1,42.8,3777,912,24.1,67.4,32.6,61448,Quintile 3,42.3
90071,34.05194037,-118.254088,0,No,Yes,126,0,0,100,100,5.6,85,67.5,34,41,32.5,47.6,119,0,0,5.9,94.1,61875,Quintile 3,5.9
90010,34.06139076,-118.3096997,0,No,Yes,3822,10.3,8.2,89.7,86.8,23.8,1822,47.7,33.9,2000,52.3,38.4,2029,157,7.7,17.6,82.4,63112,Quintile 3,34.7
91335,34.20018327,-118.5403196,5,No,Yes,81824,22.4,9.3,77.6,74.1,18.4,40184,49.1,35.5,41640,50.9,39,24391,7884,32.3,47.6,52.4,63748,Quintile 3,49.7
91331,34.25726361,-118.4198196,10,No,Yes,105458,24.8,11.5,75.2,70.6,15.1,52761,50,32.9,52697,50,33.7,23447,8449,36,61.3,38.7,63807,Quintile 3,54.2
90710,33.79480295,-118.2987286,4,No,Yes,28045,23.4,7.8,76.6,73,21.3,13311,47.5,36.8,14734,52.5,38.9,9230,2635,28.5,52.9,47.1,63907,Quintile 3,39.6
90042,34.11332226,-118.1914287,1,No,Yes,63193,19.1,8.1,80.9,77.7,16.9,31144,49.3,35.5,32049,50.7,36.2,21017,5207,24.8,44.9,55.1,64267,Quintile 3,38.2
91042,34.25460012,-118.2872578,1,No,Yes,26966,16.9,8.4,83.1,80.4,25.3,13237,49.1,40.9,13729,50.9,46,9961,2428,24.4,53.9,46.1,64532,Quintile 3,40.9
90026,34.07687201,-118.265359,2,No,Yes,68906,16.5,9.3,83.5,80.1,15.1,35124,51,34.2,33782,49,35.3,26045,4781,18.4,23.7,76.3,65269,Quintile 3,40.4
90024,34.06136034,-118.4402367,3,No,Yes,51627,8.1,49,91.9,62.2,14.7,22964,44.5,23.5,28663,55.5,21.9,16515,2099,12.7,30.2,69.8,65855,Quintile 3,38.1
91343,34.23551251,-118.4752662,3,No,Yes,66743,26.2,11.1,73.8,69.4,15,32289,48.4,33.5,34454,51.6,34.5,18035,6634,36.8,50.6,49.4,66661,Quintile 3,49
90027,34.10546215,-118.2923675,1,No,Yes,44770,11.8,6,88.2,86.4,20.3,21731,48.5,37.8,23039,51.5,38.4,21668,2919,13.5,19.2,80.8,66947,Quintile 3,37.9
90065,34.10881215,-118.227666,1,No,Yes,46461,19.9,8.8,80.1,77.2,19,23218,50,36.7,23243,50,37.7,15414,4156,27,48.6,51.4,67479,Quintile 3,32.9
91306,34.20840402,-118.57594,0,No,Yes,49678,21.7,9.6,78.3,74,18.5,24715,49.8,34.8,24963,50.2,38.9,14654,4593,31.3,55.7,44.3,69917,Quintile 3,47.4
91304,34.22192133,-118.6096789,7,No,Yes,54361,21.6,9.5,78.4,74.7,19.8,26904,49.5,37.4,27457,50.5,39.4,17508,5482,31.3,50.1,49.9,70505,Quintile 3,39.3
90717,33.7938036,-118.31736,1,No,Yes,21508,21.1,7.6,78.9,75.9,23.7,10543,49,41.1,10965,51,38.9,8477,2185,25.8,46.8,53.2,71388,Quintile 3,31.8
91325,34.23588183,-118.5210582,3,No,Yes,34575,18.6,14.7,81.4,75.5,18.9,16614,48.1,36.4,17961,51.9,37.4,11920,3202,26.9,47.6,52.4,71400,Quintile 3,39.9
91607,34.16615319,-118.3993372,1,No,Yes,30611,15.9,6.6,84.1,82,22.9,14882,48.6,37.7,15729,51.4,39.9,13607,2543,18.7,29.6,70.4,71691,Quintile 3,37.1
90501,33.82909373,-118.3142099,6,No,Yes,41975,23.7,7.6,76.3,72.8,18.3,20663,49.2,35.8,21312,50.8,38.7,14242,4862,34.1,45.6,54.4,71712,Quintile 3,28
90046,34.09715015,-118.3582682,3,No,Yes,50900,7.7,5.7,92.3,91.5,18.3,27736,54.5,38.8,23164,45.5,37.1,29025,2231,7.7,22.6,77.4,72266,Quintile 3,31.1
90502,33.83163121,-118.2928194,0,No,Yes,17778,15.9,6.7,84.1,81.4,28.5,8974,50.5,40.2,8804,49.5,46.7,5975,1266,21.2,68.4,31.6,73826,Quintile 3,33
91342,34.30514122,-118.4352183,8,No,Yes,94595,25.2,9.7,74.8,70.8,17.7,46949,49.6,34.1,47646,50.4,36.4,25121,8845,35.2,65.2,34.8,74050,Quintile 3,46
90034,34.02829051,-118.4026959,1,No,Yes,53861,13.6,7.9,86.4,84.7,13.4,27438,50.9,33.8,26423,49.1,34.3,25248,3960,15.7,18.5,81.5,75714,Quintile 3,30.3
91356,34.16990293,-118.5404891,3,No,Yes,29822,18.5,6.5,81.5,78.7,27.1,14483,48.6,40.4,15339,51.4,46.3,11802,2769,23.5,56.8,43.2,76929,Quintile 4,43.6
91316,34.16673107,-118.5162961,2,No,Yes,30499,20.5,5.1,79.5,77.2,23.7,14136,46.3,40.1,16363,53.7,42.4,12409,3176,25.6,50.1,49.9,76978,Quintile 4,36.2
91345,34.26212132,-118.4617576,3,No,Yes,19145,20.9,10.6,79.1,75.4,21.3,9652,50.4,36.5,9493,49.6,39.7,5402,1577,29.2,72.7,27.3,77273,Quintile 4,47
91324,34.2355212,-118.5459898,4,No,Yes,29670,17.3,12.3,82.7,78.8,23.1,15959,53.8,33.9,13711,46.2,43,10012,2488,24.9,50.9,49.1,80260,Quintile 4,40.4
90036,34.06892065,-118.3508078,3,No,Yes,37965,16.1,7.8,83.9,82,14.1,17540,46.2,35.2,20425,53.8,34.4,18559,3109,16.8,17.3,82.7,80539,Quintile 4,31.3
90066,34.00215095,-118.4290397,2,No,Yes,59167,16.2,6.7,83.8,81.9,20,29805,50.4,37.8,29362,49.6,38.6,25785,5010,19.4,36.4,63.6,83899,Quintile 4,31.5
91504,34.19825409,-118.3304993,0,No,Yes,26749,20.9,8,79.1,76.2,19.6,13272,49.6,37.4,13477,50.4,40.3,9387,2827,30.1,54.1,45.9,83994,Quintile 4,44.5
91602,34.15134106,-118.3690786,4,No,Yes,19672,12.9,4.9,87.1,86,18.8,9539,48.5,40.6,10133,51.5,37.4,9813,1355,13.8,33.1,66.9,84008,Quintile 4,39.6
90230,33.99506425,-118.3950096,0,No,Yes,32687,20.6,6.4,79.4,77.3,22.6,15431,47.2,37.5,17256,52.8,42.4,13327,3487,26.2,54.2,45.8,85524,Quintile 4,40.6
90041,34.13538186,-118.2068491,1,No,Yes,29090,17.6,12.1,82.4,76.3,23.1,13943,47.9,37,15147,52.1,42.2,9661,2322,24,50.7,49.3,85971,Quintile 4,37.4
90211,34.0656619,-118.3814662,0,No,Yes,8019,18.6,5.3,81.4,79.6,22.5,3678,45.9,38.9,4341,54.1,44.4,3661,833,22.8,30.2,69.8,86437,Quintile 4,34.5
91040,34.25970116,-118.3244988,1,No,Yes,20049,15.8,7.3,84.2,81.2,27.9,9900,49.4,45.9,10149,50.6,48.6,7339,1630,22.2,71.9,28.1,86594,Quintile 4,38.7
91505,34.16767394,-118.3444989,0,No,Yes,30902,18.3,8.4,81.7,78.6,19.3,14965,48.4,39,15937,51.6,39.9,12902,2874,22.3,47,53,87138,Quintile 4,40.1
90025,34.04518389,-118.4502563,3,No,Yes,46883,11.7,8.5,88.3,86.5,17.1,24061,51.3,33.1,22822,48.7,35.5,22015,3007,13.7,26.7,73.3,87280,Quintile 4,31.8
90068,34.11525145,-118.3314161,2,No,Yes,21092,10.9,5.1,89.1,88.5,19.2,10801,51.2,43.5,10291,48.8,41.2,11316,1305,11.5,49.5,50.5,88535,Quintile 4,41
90035,34.05428233,-118.3838559,1,No,Yes,27272,21.7,6.1,78.3,76.6,20.3,13000,47.7,36.3,14272,52.3,36.3,11816,2602,22,32.8,67.2,89337,Quintile 4,30.5
90232,34.01970043,-118.3959568,0,No,Yes,14780,15.9,6.6,84.1,82.1,20.8,7054,47.7,39.9,7726,52.3,40.8,6598,1291,19.6,36.3,63.7,90467,Quintile 4,37.2
90039,34.11160164,-118.2612573,5,No,Yes,29510,16,5.8,84,82.2,19.9,14774,50.1,37.3,14736,49.9,41,11685,2442,20.9,45.5,54.5,90538,Quintile 4,37.5
91423,34.15306169,-118.4329589,2,No,Yes,33172,16.8,6.5,83.2,81.3,19.2,15936,48,37.8,17236,52,39.3,15085,3380,22.4,38.7,61.3,90931,Quintile 4,33.5
91311,34.25282301,-118.5950276,14,No,Yes,40839,17.9,8,82.1,78.7,26.1,20289,49.7,41.1,20550,50.3,45.5,14283,3701,25.9,64.6,35.4,91897,Quintile 4,38.6
90056,33.98651328,-118.3696,0,No,Yes,7649,18.2,5.6,81.8,80.1,33.7,2963,38.7,49.4,4686,61.3,49.3,3412,621,18.2,67.1,32.9,92656,Quintile 4,48.8
90069,34.08940301,-118.379789,1,No,Yes,20230,5.4,4.7,94.6,93.3,23.2,11873,58.7,45.1,8357,41.3,39.9,12488,673,5.4,36.2,63.8,93380,Quintile 4,29.4
90212,34.06384134,-118.4002583,0,No,Yes,13314,20.4,7.1,79.6,77.1,24.4,6488,48.7,38.6,6826,51.3,43.9,5887,1387,23.6,27.2,72.8,95080,Quintile 4,32.9
91367,34.17858425,-118.609579,3,No,Yes,45970,17.9,6.6,82.1,78.9,22.7,21723,47.3,38.5,24247,52.7,41.6,18433,4616,25,53.1,46.9,96085,Quintile 4,35.8
91344,34.27480005,-118.5011363,1,No,Yes,53613,19.9,8.9,80.1,76.9,24.3,27002,50.4,40.9,26611,49.6,44.4,17037,5059,29.7,74.9,25.1,96162,Quintile 4,39.3
90291,33.99258325,-118.4663763,7,No,Yes,26950,13.2,5,86.8,85.6,18.6,13856,51.4,39.1,13094,48.6,37.6,13692,1890,13.8,34.3,65.7,99652,Quintile 5,34.4
90048,34.07316138,-118.3740667,6,No,Yes,21489,9.3,5.1,90.7,88.9,20.6,9723,45.2,38.6,11766,54.8,36.5,11636,1357,11.7,30.2,69.8,100586,Quintile 5,31.1
90064,34.03541197,-118.4321768,8,No,Yes,25925,19.5,6.9,80.5,78.5,22.1,12831,49.5,38,13094,50.5,42.1,11083,2580,23.3,55.2,44.8,102117,Quintile 5,34.5
90732,33.73946061,-118.313406,0,No,Yes,22780,18.8,6.5,81.2,77.7,28.1,10837,47.6,42.6,11943,52.4,48.3,8810,1970,22.4,70.6,29.4,104567,Quintile 5,34.2
90045,33.96152081,-118.3934497,3,No,Yes,40567,15.7,17.2,84.3,74.4,18.8,19189,47.3,34.3,21378,52.7,36.2,15622,3332,21.3,51.6,48.4,104578,Quintile 5,34.8
91403,34.15450423,-118.459559,2,No,Yes,25156,15.2,4.8,84.8,83.6,20.9,12459,49.5,38.4,12697,50.5,39.9,11400,2247,19.7,44.9,55.1,104802,Quintile 5,33.2
91214,34.22857354,-118.2469492,0,No,Yes,30787,23,8.1,77,73.1,23,14687,47.7,43.3,16100,52.3,44.4,10357,3717,35.9,73.5,26.5,104981,Quintile 5,37.1
90293,33.95744085,-118.4391679,1,No,Yes,12728,10.5,5.5,89.5,87.7,22.4,6276,49.3,37.1,6452,50.7,38.8,6604,748,11.3,48.7,51.3,105865,Quintile 5,37.8
91364,34.1620124,-118.5984688,4,No,Yes,27971,20.4,5.3,79.6,77.6,25.7,13825,49.4,43,14146,50.6,44.8,10648,2937,27.6,66.8,33.2,106225,Quintile 5,42.3
90245,33.92015201,-118.4058069,0,No,Yes,16731,24.2,5.6,75.8,72.8,17.1,8258,49.4,36.1,8473,50.6,38.3,6417,2074,32.3,43.5,56.5,109577,Quintile 5,29.6
91604,34.14446292,-118.3942796,8,No,Yes,32910,17.3,5.6,82.7,81.5,20.5,16163,49.1,39.9,16747,50.9,40.6,14641,3492,23.9,47.2,52.8,111341,Quintile 5,32.3
90292,33.98163384,-118.4511079,2,No,Yes,23549,10.3,6.3,89.7,86.9,22.6,12260,52.1,39.3,11289,47.9,40,12606,1526,12.1,31,69,114726,Quintile 5,38.2
91326,34.2749304,-118.5501393,0,No,Yes,36339,19.9,6.6,80.1,77,28.8,18047,49.7,45.8,18292,50.3,47,12778,3842,30.1,74.9,25.1,117590,Quintile 5,37.4
90067,34.05955282,-118.4145882,0,No,Yes,2428,7.9,2.1,92.1,92.1,57.3,1117,46,67.7,1311,54,64.5,1421,120,8.4,79.6,20.4,118393,Quintile 5,37.7
91307,34.1978109,-118.6380084,0,No,Yes,26341,21.6,7.7,78.4,74.7,23.5,12896,49,43.1,13445,51,45.8,8650,2936,33.9,83.8,16.2,120474,Quintile 5,39.2
90049,34.06172098,-118.4722594,0,No,Yes,36418,18.1,6.5,81.9,79.5,25.2,16728,45.9,40.4,19690,54.1,40.9,16720,3446,20.6,51,49,129688,Quintile 5,39.8
90290,34.10128225,-118.6049472,0,No,Yes,5681,17.8,8,82.2,77.5,23.9,2783,49,45.3,2898,51,45.8,2275,642,28.2,72.2,27.8,129772,Quintile 5,44
90210,34.08553161,-118.4042688,0,No,Yes,19314,20.2,4.7,79.8,78,34,9380,48.6,48.1,9934,51.4,50.8,7936,1936,24.4,73.8,26.2,147270,Quintile 5,45.9
90402,34.03254427,-118.5058463,0,No,Yes,11882,23.4,3.7,76.6,75.1,33.8,5730,48.2,48.2,6152,51.8,49,4999,1314,26.3,68.5,31.5,154583,Quintile 5,38.1
90094,33.97293079,-118.425329,0,No,Yes,9827,22,4.9,78,75.8,10.6,4592,46.7,36.2,5235,53.3,36.2,4361,1067,24.5,39.2,60.8,155417,Quintile 5,36.1
91436,34.15384379,-118.4873366,0,No,Yes,15292,21.7,5.3,78.3,76.6,27.8,7284,47.6,45.2,8008,52.4,47.7,5600,1757,31.4,78.1,21.9,174085,Quintile 5,43.7
90272,34.04886411,-118.5357269,1,No,Yes,21629,23.8,4.2,76.2,74.5,30.6,10423,48.2,46.8,11206,51.8,48.6,8724,2558,29.3,79.1,20.9,192500,Quintile 5,39.2
90077,34.10409347,-118.4510167,1,No,Yes,8382,22.1,6.1,77.9,75.2,32.5,4094,48.8,48.6,4288,51.2,48.3,3173,905,28.5,86.1,13.9,209531,Quintile 5,43.9
92258,0,0,,No,No,559,8.8,7.7,91.2,91.2,9.3,330,59,43.8,229,41,36,216,45,20.8,60.2,39.8,10938,,45.8
95202,0,0,,No,No,6066,24.6,6.4,75.4,73.4,25.3,2921,48.2,43.6,3145,51.8,37,2926,438,15,5.8,94.2,14822,,44.1
96075,0,0,,No,No,350,0,5.1,100,100,33.4,246,70.3,43.4,104,29.7,56.5,159,0,0,83,17,16875,,45.3
92266,0,0,,No,No,112,0,0,100,100,73.2,85,75.9,69.2,27,24.1,-,75,0,0,90.7,9.3,19438,,38.7
93207,0,0,,No,No,256,16.8,7.8,83.2,75.4,54.3,126,49.2,61.5,130,50.8,62.4,114,16,14,93,7,20667,,30.7
93554,0,0,,No,No,125,0,0,100,100,95.2,49,39.2,73.4,76,60.8,75.5,82,0,0,92.7,7.3,20865,,9.8
92257,0,0,,No,No,1281,30.4,7.1,69.6,69.2,42.3,651,50.8,55.8,630,49.2,50.3,491,101,20.6,75.2,24.8,20976,,44.2
93261,0,0,,No,No,2434,26.7,8.9,73.3,70.4,13.6,1355,55.7,32.8,1079,44.3,35,681,271,39.8,42.6,57.4,21010,,31.7
95925,0,0,,No,No,276,11.6,19.6,88.4,74.3,27.9,140,50.7,26.9,136,49.3,54.2,142,15,10.6,50,50,21453,,6.3
95585,0,0,,No,No,457,18.6,6.3,81.4,77.7,27.4,227,49.7,46,230,50.3,34.8,208,47,22.6,63.9,36.1,21719,,29.3
92283,0,0,,No,No,1684,32.1,10.2,67.9,62.1,25.1,772,45.8,35.5,912,54.2,30.3,512,83,16.2,45.7,54.3,22100,,46.1
93205,0,0,,No,No,2030,23.5,5.2,76.5,75.2,32.5,984,48.5,49.2,1046,51.5,41.1,902,255,28.3,68.1,31.9,22438,,30.9
92401,0,0,,No,No,2257,27,15.5,73,68.3,14.4,1065,47.2,26.4,1192,52.8,29.9,762,264,34.6,15.5,84.5,22500,,33.7
95923,0,0,,No,No,28,0,0,100,100,78.6,11,39.3,77.6,17,60.7,79.1,16,0,0,100,0,22500,,56.3
96031,0,0,,No,No,133,23.3,0,76.7,76.7,35.3,75,56.4,39.9,58,43.6,59.1,60,11,18.3,91.7,8.3,22500,,33.3
93701,0,0,,No,No,10166,32.5,13.1,67.5,62.7,10.4,4863,47.8,26,5303,52.2,28,3417,1264,37,11.9,88.1,23153,,42.7
95934,0,0,,No,No,146,0,0,100,100,39,97,66.4,51,49,33.6,68.3,97,0,0,78.4,21.6,24050,,45.4
92254,0,0,,No,No,9779,30.1,10.3,69.9,66,12.8,5082,52,31.8,4697,48,33.4,2897,1100,38,65.9,34.1,24194,,29.2
95552,0,0,,No,No,750,17.2,0.9,82.8,82.8,38.4,389,51.9,57.8,361,48.1,57.3,384,32,8.3,85.2,14.8,24318,,45.3
96050,0,0,,No,No,381,10.2,1.8,89.8,89,59.8,219,57.5,62.9,162,42.5,64,211,14,6.6,73.5,26.5,24598,,34.1
95950,0,0,,No,No,350,38.3,0,61.7,61.7,16,162,46.3,22.5,188,53.7,47.2,151,57,37.7,45,55,24940,,28.5
96011,0,0,,No,No,199,21.1,8,78.9,78.9,36.7,114,57.3,55.5,85,42.7,47.8,79,15,19,69.6,30.4,25375,,44.3
